T,P,rho,h,cp,mu,k
612.0,23.0,651.7820459687113,1555141.6857494968,6467.763373953213,7.63184943980718e-05,0.5077250678076662
613.0,23.0,648.9065980859635,1561638.726379878,6526.755401849652,7.590633617719454e-05,0.5056333709821633
614.0,23.0,645.9834470006907,1568196.1041535686,6588.470920111362,7.54906460298175e-05,0.5035166980015033
615.0,23.0,643.0103913930512,1574816.645930827,6653.120360282584,7.507118796581121e-05,0.5013741755717664
616.0,23.0,639.9850563670253,1581503.400606895,6720.937907066989,7.464770826237092e-05,0.49920487505406175
617.0,23.0,636.9048733990783,1588259.6645997872,6792.1850671793445,7.421993334949734e-05,0.4970078080913813
618.0,23.0,633.7670572030048,1595089.011225956,6867.154897494111,7.378756736862741e-05,0.4947819218557561
619.0,23.0,630.5685789305776,1601995.3246916286,6946.177034368107,7.335028934344956e-05,0.49252609389514074
620.0,23.0,627.3061350013223,1608982.83958584,7029.623700758912,7.290774988893628e-05,0.49023912656667873
621.0,23.0,623.9761106967363,1616056.186959513,7117.916912191834,7.245956736841038e-05,0.48791974105496966
622.0,23.0,620.5745374569165,1623220.4483229723,7211.537159809847,7.20053233883273e-05,0.4855665709940094
623.0,23.0,617.0970425680624,1630481.219208224,7311.033922925086,7.154455749508371e-05,0.48317815574253137
624.0,23.0,613.5387896132959,1637844.6843408907,7417.038460474815,7.107676090618459e-05,0.4807529334107904
625.0,23.0,609.8944076553885,1645317.7069770356,7530.279458728449,7.060136906740292e-05,0.478289233810412
626.0,23.0,606.1579066003525,1652907.9356185566,7651.6022830021075,7.011775277541638e-05,0.4757852716103261
627.0,23.0,602.3225755169962,1660623.9321771436,7781.992810510871,6.962520753806022e-05,0.4732391401502814
628.0,23.0,598.3808598054868,1668475.3267818086,7922.607133888009,6.912294075651878e-05,0.4706471820934397
629.0,23.0,594.3242119421013,1676473.0059175736,8074.8088559619455,6.861005619812892e-05,0.46801053751539107
630.0,23.0,590.1429089694346,1684629.3425869464,8240.21630004391,6.8085535074459e-05,0.46532513562412015
631.0,23.0,585.8258277930275,1692958.4799117146,8420.762819775257,6.754821283152017e-05,0.462588566624372
632.0,23.0,581.3601664511231,1701476.6833569042,8618.77464135277,6.69967504743778e-05,0.459798321367971
633.0,23.0,576.7310954846475,1710202.7820473313,8837.07252643164,6.642959885187358e-05,0.4569518274849264
634.0,23.0,571.9213177833631,1719158.7272305894,9079.106375422485,6.584495376291255e-05,0.454046512276413
635.0,23.0,566.9105069015876,1728370.3070778132,9349.13634804995,6.524069892267485e-05,0.45107990810173243
636.0,23.0,561.6745812672619,1737868.0738433092,9652.481351440214,6.461433258981071e-05,0.4480498260102711
637.0,23.0,556.1847522041726,1747688.5657098514,9995.86811160691,6.396287172733694e-05,0.4449546408955684
638.0,23.0,550.4062521678377,1757875.9484241344,10387.936048855136,6.328272443424954e-05,0.4417937632768517
639.0,23.0,544.2965961819235,1768484.2746465823,10839.99432604611,6.256951603043369e-05,0.4385684331150278
